    Date, Time,Ozone,TempNear,RHNear
20110101,0:00,   NA,         NA,          NA
20110101,1:00,32,59.39,34.54
20110101,2:00,31,58.8,33.33
20110101,3:00,33,57.84,30.45
20110101,4:00,33,56.6,26.57
20110101,5:00,32,55.08,24.53
20110101,6:00,33,54.02,22.63
20110101,7:00,32,53.78,20.8
20110101,8:00,32,53.92,20.48
20110101,9:00,33,55.28,20.28
20110101,10:00,34,57.22,19.59
20110101,11:00,35,58.9,21.12
20110101,12:00,36,60.73,22.23
20110101,13:00,36,61.26,23.11
20110101,14:00,36,61.42,23.91
20110101,15:00,36,61.58,24.62
20110101,16:00,34,60.8,25.89
20110101,17:00,28,59.45,29.23
20110101,18:00,22,57.53,34.01
20110101,19:00,23,55.48,36.2
20110101,20:00,25,53.1,38.11
20110101,21:00,22,50.66,41.31
20110101,22:00,   NA,48.42,44.75
20110101,23:00,25,46.38,47.34
20110102,0:00,25,44.6,49.77
20110102,1:00,26,43.21,51.1
20110102,2:00,25,41.69,49.41
20110102,3:00,24,40.51,50.36
20110102,4:00,20,39.49,51.83
20110102,5:00,23,38.95,43.88
20110102,6:00,22,38.4,39.05
20110102,7:00,18,37.89,40.94
20110102,8:00,22,38.85,37.02
20110102,9:00,25,41.56,32.77
20110102,10:00,26,44.84,31.26
20110102,11:00,29,48.05,29.23
20110102,12:00,30,50.42,26.18
20110102,13:00,32,52.33,25.23
20110102,14:00,35,53.86,24.95
20110102,15:00,36,54.7,23.48
20110102,16:00,36,54.75,24.07
20110102,17:00,30,53.77,27.02
20110102,18:00,21,52.17,29.33
20110102,19:00,4,49.37,37.33
20110102,20:00,1,48.15,41.72
20110102,21:00,0,47.06,50.01
20110102,22:00,1,45.9,56.08
20110102,23:00,0,45.58,51.11
20110103,0:00,0,45.62,43.69
20110103,1:00,1,44.74,47.92
20110103,2:00,0,43.02,52.94
20110103,3:00,0,41.48,59.75
20110103,4:00,0,41.11,63.67
20110103,5:00,0,40.69,65.44
20110103,6:00,0,40.59,65.92
20110103,7:00,1,40.8,65.42
20110103,8:00,2,43.62,65.83
20110103,9:00,6,48.74,63.11
20110103,10:00,18,52.43,59.24
20110103,11:00,24,55.33,56.87
20110103,12:00,30,56.83,56.41
20110103,13:00,37,58.14,55.13
20110103,14:00,32,58.36,53.81
20110103,15:00,29,57.29,59.88
20110103,16:00,28,55.64,63.6
20110103,17:00,28,54.51,66.11
20110103,18:00,27,54.19,68.77
20110103,19:00,28,53.91,71.71
20110103,20:00,29,53.56,73.12
20110103,21:00,27,53.46,74.88
20110103,22:00,23,53.02,77.5
20110103,23:00,16,52.59,82.01
20110104,0:00,15,54.21,85.56
20110104,1:00,22,54.42,85.93
20110104,2:00,15,54.92,85.75
20110104,3:00,12,56.25,86.38
20110104,4:00,1,56.89,86.51
20110104,5:00,0,56.88,87.09
